CallID,CustomerID,CallDate,IssueType,ResolutionStatus,SupervisorID
1,1456,2023-01-01 00:00:00,Issue2,Pending,47
2,7360,2023-01-01 01:00:00,Issue3,Resolved,27
3,5628,2023-01-01 02:00:00,Issue2,Resolved,86
4,9203,2023-01-01 03:00:00,Issue2,Pending,2
5,7996,2023-01-01 04:00:00,Issue3,Resolved,80
6,7911,2023-01-01 05:00:00,Issue2,Resolved,92
7,1293,2023-01-01 06:00:00,Issue2,Resolved,32
8,187,2023-01-01 07:00:00,Issue2,Resolved,94
9,246,2023-01-01 08:00:00,Issue3,Pending,44
10,5127,2023-01-01 09:00:00,Issue3,Pending,58
11,2640,2023-01-01 10:00:00,Issue1,Resolved,23
12,1809,2023-01-01 11:00:00,Issue1,Pending,14
13,8741,2023-01-01 12:00:00,Issue2,Pending,12
14,141,2023-01-01 13:00:00,Issue2,Pending,5
15,3328,2023-01-01 14:00:00,Issue3,Pending,48
16,6907,2023-01-01 15:00:00,Issue1,Pending,73
17,172,2023-01-01 16:00:00,Issue3,Pending,85
18,7790,2023-01-01 17:00:00,Issue3,Resolved,36
19,6660,2023-01-01 18:00:00,Issue3,Pending,22
20,7674,2023-01-01 19:00:00,Issue2,Resolved,43
21,1694,2023-01-01 20:00:00,Issue1,Resolved,3
22,5631,2023-01-01 21:00:00,Issue3,Pending,2
23,4306,2023-01-01 22:00:00,Issue1,Resolved,24
24,4905,2023-01-01 23:00:00,Issue1,Pending,48
25,8386,2023-01-02 00:00:00,Issue3,Pending,25
26,4953,2023-01-02 01:00:00,Issue3,Resolved,94
27,9929,2023-01-02 02:00:00,Issue3,Resolved,84
28,1864,2023-01-02 03:00:00,Issue1,Resolved,91
29,9727,2023-01-02 04:00:00,Issue1,Resolved,64
30,7414,2023-01-02 05:00:00,Issue2,Resolved,84
31,8778,2023-01-02 06:00:00,Issue2,Resolved,99
32,6174,2023-01-02 07:00:00,Issue2,Pending,95
33,1595,2023-01-02 08:00:00,Issue2,Resolved,24
34,9749,2023-01-02 09:00:00,Issue3,Resolved,69
35,1774,2023-01-02 10:00:00,Issue1,Pending,69
36,6598,2023-01-02 11:00:00,Issue2,Pending,1
37,3075,2023-01-02 12:00:00,Issue3,Resolved,74
38,9003,2023-01-02 13:00:00,Issue2,Resolved,67
39,6845,2023-01-02 14:00:00,Issue2,Pending,51
40,4425,2023-01-02 15:00:00,Issue2,Resolved,53
41,5309,2023-01-02 16:00:00,Issue3,Resolved,41
42,7877,2023-01-02 17:00:00,Issue2,Resolved,56
